","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
5,Kannur,3,0,3,0,0,0,0,0,5,0,2,2,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,26,139,72,62,10,57,40,17,9,7,2,0,0,0,0,0,0,1,1,0,27,5,22,0,0,0,0,0,1,0,8,8,0,0,175,201
6,Kasargod,3,0,3,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,49,2,2,75,141,56,56,0,52,52,0,2,2,0,17,4,13,14,0,14,0,0,0,8,0,8,0,0,0,0,0,0,0,1,0,1,0,150,225
7,Kollam Commr.,0,0,0,0,0,0,0,1,1,1,10,6,0,6,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,94,38,38,0,37,29,8,13,13,0,0,0,0,6,0,6,0,0,0,24,19,5,0,0,0,0,0,0,0,0,0,0,0,118,144
8,Kollam Rural,0,0,0,0,1,0,0,0,2,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,40,137,72,72,0,27,27,0,0,0,0,31,31,0,7,0,7,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,149,189
9,Kottayam,0,0,0,0,0,0,0,0,3,0,15,13,2,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,31,1,29,82,89,68,66,2,15,12,3,1,1,0,3,3,0,2,0,2,0,0,0,5,2,3,0,0,0,0,0,0,0,6,5,1,0,100,182
10,Kozhikode Commr.,2,0,2,0,0,0,0,2,11,0,10,9,0,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,23,4,26,81,52,43,41,2,5,1,4,3,1,2,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,56,137
11,Kozhikode Rural,1,0,1,0,0,0,0,0,0,1,10,9,1,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,52,5,9,79,70,37,35,2,23,9,14,7,5,2,1,1,0,1,0,1,1,0,1,20,7,13,0,0,0,0,0,0,0,5,5,0,0,95,174
12,Malappuram,4,0,4,1,1,0,0,9,36,3,20,18,8,10,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,134,6,4,228,208,98,98,0,27,5,22,9,4,5,0,0,0,73,1,72,1,1,0,11,0,11,0,0,0,0,0,2,0,15,15,0,0,236,464
13,Palakkad,6,1,5,0,1,0,0,1,0,0,19,19,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,2,0,115,128,111,110,1,4,1,3,1,1,0,4,4,0,8,1,7,0,0,0,16,12,4,0,0,0,0,0,1,0,18,18,0,0,163,278
14,Pathanamthitta,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,105,81,74,7,9,8,1,10,9,1,3,3,0,0,0,0,2,2,0,30,0,30,0,0,0,0,0,1,0,0,0,0,0,136,143
15,Railways,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5
16,Thrissur Commr.,0,0,0,0,3,0,0,0,27,3,7,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,1,1,0,16,60,107,48,48,0,42,34,8,9,9,0,0,0,0,8,0,8,0,0,0,18,0,18,0,0,0,0,0,2,0,5,5,0,1,133,193
17,Thrissur Rural,0,0,0,0,0,0,0,0,7,0,10,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,14,86,65,45,43,2,13,6,7,6,5,1,1,1,0,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,76,162
18,Trivandrum Commr.,2,0,2,0,0,0,0,0,3,3,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,18,110,69,68,1,22,21,1,8,8,0,6,6,0,1,0,1,4,3,1,29,1,28,0,0,0,0,0,0,0,8,8,0,0,147,165
19,Trivandrum Rural,3,0,3,0,0,0,0,0,5,2,15,11,4,7,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,8,0,28,62,232,124,124,0,75,62,13,16,12,4,9,9,0,7,0,7,1,1,0,40,6,34,0,0,0,0,0,0,0,4,3,1,0,276,338
20,Wayanadu,0,0,0,0,0,0,0,0,0,1,13,11,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,21,118,72,72,0,30,30,0,11,11,0,0,0,0,5,0,5,0,0,0,23,0,23,0,0,0,0,0,0,0,3,3,0,0,144,165
21,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,1,1,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,20
,Total Districts ,29,1,28,3,10,0,0,13,130,14,200,140,36,104,1,0,0,42,5,0,12,66,0,0,0,0,0,0,0,10,620,35,200,1330,2163,1273,1243,30,509,394,115,133,109,24,97,83,14,138,2,136,13,8,5,331,65,266,0,0,0,0,0,8,0,107,101,6,2,2611,3941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agar,0,0,0,0,0,0,0,0,21,1,13,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,47,27,27,0,19,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,85
2,Alirajpur,1,0,1,1,1,0,0,5,25,0,74,51,0,51,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,113,45,37,37,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,158
3,Anuppur,2,0,2,2,0,0,0,0,20,1,87,79,77,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,138,71,46,46,0,23,23,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,209
4,Ashok Nagar,3,1,2,0,0,0,0,3,38,2,63,60,0,60,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,111,124,75,75,0,45,45,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,235
5,Balaghat,5,0,5,0,1,1,0,0,29,0,167,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,225,113,68,68,0,44,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,338
6,Barwani,0,0,0,0,0,0,0,4,28,0,53,53,53,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,86,126,98,98,0,27,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,212
7,Betul,4,1,3,1,2,0,0,1,0,0,174,22,22,0,0,0,0,152,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,184,94,53,53,0,40,40,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,95,279
8,Bhind,0,0,0,0,0,0,0,0,0,0,109,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110,87,32,32,0,51,51,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,197
9,Bhopal,8,0,8,1,2,0,0,10,93,101,379,367,367,0,0,0,0,7,4,0,1,4,0,0,0,0,0,0,0,0,0,0,128,726,284,152,152,0,110,110,0,8,8,0,4,3,1,10,0,10,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,289,1015
10,Bhopal Railway,0,0,0,0,0,0,0,1,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
11,Burhanpur,4,0,4,1,1,0,0,0,9,0,34,31,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,66,58,34,34,0,23,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,124
12,Chhatarpur,1,1,0,2,4,0,0,0,57,0,150,111,111,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,49,266,170,59,59,0,102,102,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,174,440
13,Chhindwara,5,3,2,0,0,0,0,5,22,0,134,133,0,133,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,194,70,42,42,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,264
14,Damoh,0,0,0,2,0,0,0,4,0,0,166,166,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,84,25,25,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,256
15,Datia,1,0,1,0,2,0,0,0,0,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,38,16,16,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,110
16,Dewas,2,0,2,1,1,1,0,6,58,3,110,107,107,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,187,187,121,121,0,63,63,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,374
17,Dhar,6,0,6,3,1,0,0,13,60,3,273,264,264,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,484,195,128,128,0,59,59,0,1,1,0,0,0,0,2,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,679
18,Dindori,0,0,0,2,0,0,0,2,0,0,84,82,82,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,63,38,38,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,152
19,Guna,2,0,2,1,0,0,0,2,29,0,115,113,0,113,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,155,134,78,78,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,135,290
20,Gwalior,4,0,4,2,0,0,0,12,14,1,238,226,223,3,0,0,1,7,3,0,1,1,0,0,0,1,0,1,0,0,1,0,138,412,194,85,85,0,104,104,0,1,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,195,607
21,Harda,4,0,4,0,1,0,0,0,6,1,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,74,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,139
22,Hoshangabad,2,0,2,4,1,0,0,2,39,3,110,106,106,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,173,108,58,58,0,46,46,0,2,2,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,109,282
23,Indore,4,1,3,2,1,0,0,8,110,1,546,519,519,0,1,1,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,698,293,165,165,0,122,122,0,2,2,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,294,992
24,Indore Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
25,Jabalpur,5,0,5,0,0,0,12,0,46,0,270,269,0,269,0,0,0,1,0,0,0,4,0,0,0,0,0,0,9,0,0,3,5,354,227,117,117,0,102,102,0,3,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,581
26,Jabalpur Railway,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27,Jhabua,0,0,0,2,0,0,0,2,9,1,71,67,0,67,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,34,24,24,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,120
28,Katni,3,1,2,0,0,0,0,4,24,1,136,136,32,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,198,68,32,32,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,266
29,Khandwa,0,0,0,0,0,0,0,9,0,0,108,108,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,193,112,74,74,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,305
30,Khargone,0,0,0,1,0,0,1,1,16,1,140,128,121,7,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,213,203,136,136,0,57,57,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,204,417
31,Mandla,2,0,2,0,0,0,0,7,2,0,132,121,0,121,0,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,57,202,46,22,22,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,248
32,Mandsaur,2,0,2,1,0,0,0,8,8,0,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,101,91,39,39,0,50,50,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,192
33,Morena,3,0,3,0,0,0,0,1,105,2,110,108,108,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,223,84,48,48,0,33,33,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,307
34,Narsinghpur,1,0,1,3,0,0,0,3,10,1,99,97,85,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,132,76,38,38,0,34,34,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,208
35,Neemuch,0,0,0,1,0,0,0,0,1,0,37,37,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,42,52,33,33,0,18,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,94
36,Panna,4,0,4,3,1,0,0,5,42,5,139,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,211,76,20,20,0,54,54,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,287
37,Raisen,0,0,0,0,0,0,2,0,64,0,207,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,147,101,101,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,420
38,Rajgarh,2,0,2,2,0,0,0,6,0,0,95,95,0,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,127,117,58,58,0,57,57,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,244
39,Ratlam,3,1,2,1,1,0,0,1,6,1,150,139,0,139,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,254,175,117,117,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,429
40,Rewa,9,0,9,1,3,0,2,17,59,23,301,297,297,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,824,151,87,87,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,156,980
41,Sagar,8,1,7,7,5,0,0,11,146,10,251,81,81,0,0,2,2,158,0,0,8,1,0,0,0,0,0,0,0,0,0,0,116,555,251,135,135,0,112,112,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,806
42,Satna,5,0,5,3,2,0,0,0,18,0,279,82,82,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,347,161,93,93,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,508
43,Seoni,3,0,3,0,0,0,0,0,1,0,138,0,0,0,0,0,0,119,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,150,63,43,43,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,213
44,Shahdol,2,0,2,3,0,0,0,4,31,0,142,129,129,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,28,210,98,59,59,0,37,37,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,308
45,Shajapur,2,0,2,2,1,0,0,1,57,3,38,36,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,102,65,65,0,30,30,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,104,217
46,Sheopur,1,0,1,1,0,0,0,0,12,0,27,25,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,21,12,12,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,63
47,Shivpuri,8,0,8,0,1,0,0,4,24,3,132,132,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,361,94,44,44,0,49,49,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,98,459
48,Sidhi,3,0,3,0,0,1,0,7,0,0,146,146,146,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,158,61,30,30,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,219
49,Sehore,1,0,1,1,0,0,0,5,0,0,85,22,22,0,0,0,2,61,0,0,0,1,0,0,0,0,0,0,0,1,41,3,2,140,113,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,253
50,Singrauli,5,2,3,3,0,1,0,2,8,0,105,91,81,10,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,177,59,41,41,0,17,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,236
51,Tikamgarh,5,0,5,2,0,0,0,0,43,1,87,47,0,47,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,71,48,48,0,22,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,219
52,Ujjain,4,0,4,4,4,0,0,0,31,2,176,167,0,167,0,0,0,8,0,0,1,0,1,0,1,0,0,0,0,1,63,3,108,397,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,401
53,Umaria,1,1,0,1,0,0,0,1,15,2,42,40,0,40,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,64,41,23,23,0,17,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,105
54,Vidisha,4,0,4,5,0,0,0,6,38,2,126,126,126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,184,161,86,86,0,73,73,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,345
55,Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,12
56,Niwari,0,0,0,1,0,0,0,1,11,1,31,20,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,57,33,16,16,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,90
,Total Districts ,144,13,131,73,36,4,17,186,1485,176,7058,6050,3686,2364,1,3,12,926,32,0,34,25,4,0,4,1,0,1,10,11,127,11,1954,11322,5648,3259,3259,0,2260,2260,0,45,45,0,11,10,1,66,1,65,7,7,0,8,0,8,0,0,0,0,1,5,0,24,20,4,0,5686,17008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ahmednagar,4,0,4,0,2,0,0,0,5,0,182,148,148,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,127,62,62,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,320
2,Akola,2,0,2,2,2,0,0,5,10,1,71,62,42,20,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,104,34,34,0,68,68,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,105,200
3,Amravati Commr.,2,0,2,0,0,0,0,0,8,0,72,67,0,67,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,80,26,26,0,50,50,0,0,0,0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,9,91,174
4,Amravati Rural,7,0,7,1,0,0,0,0,12,3,102,99,99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,153,70,70,0,82,82,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,155,281
5,Aurangabad Commr.,2,0,2,0,0,0,1,6,9,0,129,125,125,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148,86,39,39,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,2,8,0,97,245
6,Aurangabad Rural,3,0,3,2,1,0,0,4,4,0,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,115,56,19,19,0,36,36,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,58,173
7,Beed,7,0,7,4,2,0,0,6,2,1,73,56,38,18,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,101,137,79,79,0,56,56,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,144,245
8,Bhandara,2,0,2,3,1,1,0,0,4,0,69,68,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,95,65,45,45,0,19,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,67,162
9,Buldhana,3,0,3,2,3,0,0,4,7,2,100,88,40,48,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,137,133,43,43,0,88,88,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,135,272
10,Chandrapur,4,0,4,4,3,0,0,2,4,0,148,136,67,69,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,131,70,70,0,57,57,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,4,4,0,0,137,302
11,Dhule,3,1,2,6,0,0,0,6,0,0,98,26,9,17,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,55,28,28,0,26,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,57,170
12,Gadchiroli,0,0,0,0,0,0,0,1,2,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,54,41,41,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,87
13,Gondia,3,0,3,0,0,0,0,4,0,0,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,32,32,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,104
